title,subtitle,authors,categories,publisher,publication_year,isbn_10,isbn_13,language,page_count,edition,average_rating,ratings_count,copies,cover_image_path,description,source,source_identifier,source_url
Clean Architecture,A Craftsman's Guide to Software Structure and Design,Robert C. Martin,Computer Science; Software Engineering; Programming,Prentice Hall,2017,0134494164,9780134494166,en,432,1st Edition,4.23,25000,2,https://covers.openlibrary.org/b/isbn/9780134494166-L.jpg,"Principles for structuring software systems so they remain flexible, testable, and maintainable over time.",Open Library,9780134494166,https://openlibrary.org/isbn/9780134494166
The Clean Coder,A Code of Conduct for Professional Programmers,Robert C. Martin,Computer Science; Software Engineering; Career,Prentice Hall,2011,0137081073,9780137081073,en,256,1st Edition,4.17,15000,2,https://covers.openlibrary.org/b/isbn/9780137081073-L.jpg,"A guide to professionalism in software development, covering conduct, estimating, and handling pressure.",Open Library,9780137081073,https://openlibrary.org/isbn/9780137081073
You Don't Know JS: Up & Going,,Kyle Simpson,Computer Science; Programming; JavaScript,O'Reilly Media,2015,1491924462,9781491924464,en,88,1st Edition,4.3,8000,2,https://covers.openlibrary.org/b/isbn/9781491924464-L.jpg,"An accessible introduction to JavaScript fundamentals, part of the You Don't Know JS book series.",Open Library,9781491924464,https://openlibrary.org/isbn/9781491924464
Eloquent JavaScript,A Modern Introduction to Programming,Marijn Haverbeke,Computer Science; Programming; JavaScript,No Starch Press,2018,1593279507,9781593279509,en,472,3rd Edition,4.36,12000,3,https://covers.openlibrary.org/b/isbn/9781593279509-L.jpg,"A modern, thorough introduction to JavaScript, browser programming, and Node.js.",Open Library,9781593279509,https://openlibrary.org/isbn/9781593279509
Python Crash Course,"A Hands-On, Project-Based Introduction to Programming",Eric Matthes,Computer Science; Programming; Python,No Starch Press,2019,1593279280,9781593279288,en,544,2nd Edition,4.53,25000,3,https://covers.openlibrary.org/b/isbn/9781593279288-L.jpg,"A fast-paced, thorough introduction to Python covering the basics and three hands-on projects.",Open Library,9781593279288,https://openlibrary.org/isbn/9781593279288
Fluent Python,"Clear, Concise, and Effective Programming",Luciano Ramalho,Computer Science; Programming; Python,O'Reilly Media,2022,1492056359,9781492056355,en,1012,2nd Edition,4.55,8000,2,https://covers.openlibrary.org/b/isbn/9781492056355-L.jpg,"An in-depth guide to writing idiomatic, effective Python by leveraging its best features.",Open Library,9781492056355,https://openlibrary.org/isbn/9781492056355
Automate the Boring Stuff with Python,Practical Programming for Total Beginners,Al Sweigart,Computer Science; Programming; Python,No Starch Press,2019,1593279922,9781593279929,en,592,2nd Edition,4.51,25000,3,https://covers.openlibrary.org/b/isbn/9781593279929-L.jpg,A practical guide to writing Python programs that automate everyday tasks.,Open Library,9781593279929,https://openlibrary.org/isbn/9781593279929
Learning Python,,Mark Lutz,Computer Science; Programming; Python,O'Reilly Media,2013,1449355730,9781449355739,en,1600,5th Edition,4.15,7000,2,https://covers.openlibrary.org/b/isbn/9781449355739-L.jpg,"A comprehensive, in-depth introduction to the Python language for programmers of all backgrounds.",Open Library,9781449355739,https://openlibrary.org/isbn/9781449355739
Head First Design Patterns,A Brain-Friendly Guide,Eric Freeman; Elisabeth Robson,Computer Science; Software Engineering; Programming,O'Reilly Media,2020,149207800X,9781492078005,en,720,2nd Edition,4.36,15000,2,https://covers.openlibrary.org/b/isbn/9781492078005-L.jpg,"A visually rich, brain-friendly introduction to object-oriented design patterns.",Open Library,9781492078005,https://openlibrary.org/isbn/9781492078005
Working Effectively with Legacy Code,,Michael C. Feathers,Computer Science; Software Engineering; Programming,Prentice Hall,2004,0131177052,9780131177055,en,456,1st Edition,4.42,10000,2,https://covers.openlibrary.org/b/isbn/9780131177055-L.jpg,"Techniques for understanding, testing, and safely modifying large, untested legacy codebases.",Open Library,9780131177055,https://openlibrary.org/isbn/9780131177055
Domain-Driven Design,Tackling Complexity in the Heart of Software,Eric Evans,Computer Science; Software Engineering; Programming,Addison-Wesley,2003,0321125215,9780321125217,en,560,1st Edition,4.13,15000,2,https://covers.openlibrary.org/b/isbn/9780321125217-L.jpg,A framework for tackling complex software design by aligning models closely with business domains.,Open Library,9780321125217,https://openlibrary.org/isbn/9780321125217
Continuous Delivery,"Reliable Software Releases through Build, Test, and Deployment Automation",Jez Humble; David Farley,Computer Science; Software Engineering; DevOps,Addison-Wesley,2010,0321601912,9780321601919,en,512,1st Edition,4.19,8000,2,https://covers.openlibrary.org/b/isbn/9780321601919-L.jpg,"Practices and principles for automating build, test, and deployment pipelines to enable reliable software releases.",Open Library,9780321601919,https://openlibrary.org/isbn/9780321601919
The Phoenix Project,"A Novel About IT, DevOps, and Helping Your Business Win",Gene Kim; Kevin Behr; George Spafford,Computer Science; Software Engineering; DevOps,IT Revolution Press,2013,0988262592,9780988262591,en,432,1st Edition,4.32,40000,2,https://covers.openlibrary.org/b/isbn/9780988262591-L.jpg,A business novel illustrating DevOps principles through the story of an IT organization in crisis.,Open Library,9780988262591,https://openlibrary.org/isbn/9780988262591
Site Reliability Engineering,How Google Runs Production Systems,Betsy Beyer; Chris Jones; Jennifer Petoff; Niall Richard Murphy,Computer Science; Software Engineering; DevOps,O'Reilly Media,2016,149192912X,9781491929124,en,552,1st Edition,4.36,10000,2,https://covers.openlibrary.org/b/isbn/9781491929124-L.jpg,"How Google approaches building, running, and maintaining large-scale, reliable production systems.",Open Library,9781491929124,https://openlibrary.org/isbn/9781491929124
Designing Data-Intensive Applications,"The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",Martin Kleppmann,Computer Science; Software Engineering; Databases,O'Reilly Media,2017,1449373321,9781449373320,en,616,1st Edition,4.47,25000,3,https://covers.openlibrary.org/b/isbn/9781449373320-L.jpg,"An exploration of the architecture and trade-offs behind modern data systems, from databases to distributed processing.",Open Library,9781449373320,https://openlibrary.org/isbn/9781449373320
Database System Concepts,,Abraham Silberschatz; Henry F. Korth; S. Sudarshan,Computer Science; Databases; Education,McGraw-Hill,2019,0078022159,9780078022159,en,1376,7th Edition,4.11,8000,2,https://covers.openlibrary.org/b/isbn/9780078022159-L.jpg,A comprehensive textbook covering the concepts and techniques underlying modern database systems.,Open Library,9780078022159,https://openlibrary.org/isbn/9780078022159
Computer Networking: A Top-Down Approach,,James F. Kurose; Keith W. Ross,Computer Science; Networking; Education,Pearson,2016,0133594149,9780133594140,en,864,7th Edition,4.15,10000,2,https://covers.openlibrary.org/b/isbn/9780133594140-L.jpg,An accessible introduction to computer networking that starts from the application layer and works down the protocol stack.,Open Library,9780133594140,https://openlibrary.org/isbn/9780133594140
Operating System Concepts,,Abraham Silberschatz; Peter B. Galvin; Greg Gagne,Computer Science; Operating Systems; Education,Wiley,2018,1119456339,9781119456339,en,1088,10th Edition,4.03,10000,2,https://covers.openlibrary.org/b/isbn/9781119456339-L.jpg,"A foundational textbook covering process management, memory management, storage, and security in operating systems.",Open Library,9781119456339,https://openlibrary.org/isbn/9781119456339
Computer Organization and Design,The Hardware/Software Interface,David A. Patterson; John L. Hennessy,Computer Science; Computer Architecture; Education,Morgan Kaufmann,2017,0128122757,9780128122754,en,712,5th Edition,4.29,6000,2,https://covers.openlibrary.org/b/isbn/9780128122754-L.jpg,"An introduction to computer architecture, covering the interface between hardware and software design.",Open Library,9780128122754,https://openlibrary.org/isbn/9780128122754
Artificial Intelligence: A Modern Approach,,Stuart Russell; Peter Norvig,Computer Science; Artificial Intelligence; Education,Pearson,2020,0134610997,9780134610993,en,1136,4th Edition,4.29,10000,3,https://covers.openlibrary.org/b/isbn/9780134610993-L.jpg,"The standard comprehensive textbook on artificial intelligence, covering search, logic, learning, and more.",Open Library,9780134610993,https://openlibrary.org/isbn/9780134610993
Deep Learning,,Ian Goodfellow; Yoshua Bengio; Aaron Courville,Computer Science; Artificial Intelligence; Machine Learning,MIT Press,2016,0262035618,9780262035613,en,800,1st Edition,4.42,10000,3,https://covers.openlibrary.org/b/isbn/9780262035613-L.jpg,"A comprehensive, mathematically rigorous introduction to deep learning, from linear algebra foundations to advanced research topics.",Open Library,9780262035613,https://openlibrary.org/isbn/9780262035613
Pattern Recognition and Machine Learning,,Christopher M. Bishop,Computer Science; Machine Learning; Statistics,Springer,2006,0387310738,9780387310732,en,738,1st Edition,4.34,7000,2,https://covers.openlibrary.org/b/isbn/9780387310732-L.jpg,A graduate-level introduction to pattern recognition and machine learning from a Bayesian perspective.,Open Library,9780387310732,https://openlibrary.org/isbn/9780387310732
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow","Concepts, Tools, and Techniques to Build Intelligent Systems",Aurelien Geron,Computer Science; Machine Learning; Artificial Intelligence,O'Reilly Media,2022,1098125975,9781098125974,en,848,3rd Edition,4.57,15000,3,https://covers.openlibrary.org/b/isbn/9781098125974-L.jpg,A practical guide to building machine learning and deep learning systems using popular Python libraries.,Open Library,9781098125974,https://openlibrary.org/isbn/9781098125974
Deep Learning with Python,,Francois Chollet,Computer Science; Machine Learning; Artificial Intelligence,Manning Publications,2021,1617296864,9781617296864,en,504,2nd Edition,4.53,6000,2,https://covers.openlibrary.org/b/isbn/9781617296864-L.jpg,"An accessible introduction to deep learning using Keras, written by its creator.",Open Library,9781617296864,https://openlibrary.org/isbn/9781617296864
Machine Learning Yearning,"Technical Strategy for AI Engineers, in the Era of Deep Learning",Andrew Ng,Computer Science; Machine Learning; Artificial Intelligence,deeplearning.ai,2018,,,en,118,1st Edition,4.35,3000,1,,Practical strategy advice for structuring machine learning projects and diagnosing model performance issues.,Compiled,N/A,
The Hundred-Page Machine Learning Book,,Andriy Burkov,Computer Science; Machine Learning; Artificial Intelligence,Andriy Burkov,2019,199957950X,9781999579500,en,160,1st Edition,4.35,4000,2,https://covers.openlibrary.org/b/isbn/9781999579500-L.jpg,"A concise, practical overview of the most important machine learning concepts and algorithms.",Open Library,9781999579500,https://openlibrary.org/isbn/9781999579500
Speech and Language Processing,"An Introduction to Natural Language Processing, Computational Linguistics, and Speech Recognition",Daniel Jurafsky; James H. Martin,Computer Science; Artificial Intelligence; Natural Language Processing,Pearson,2008,0131873210,9780131873216,en,1024,2nd Edition,4.29,3000,2,https://covers.openlibrary.org/b/isbn/9780131873216-L.jpg,A comprehensive textbook covering the theory and algorithms behind natural language processing and speech technology.,Open Library,9780131873216,https://openlibrary.org/isbn/9780131873216
Reinforcement Learning: An Introduction,,Richard S. Sutton; Andrew G. Barto,Computer Science; Artificial Intelligence; Machine Learning,MIT Press,2018,0262039249,9780262039246,en,552,2nd Edition,4.44,6000,2,https://covers.openlibrary.org/b/isbn/9780262039246-L.jpg,"The definitive introduction to reinforcement learning, covering foundational algorithms and modern developments.",Open Library,9780262039246,https://openlibrary.org/isbn/9780262039246
Computer Vision: Algorithms and Applications,,Richard Szeliski,Computer Science; Computer Vision; Artificial Intelligence,Springer,2022,3030343715,9783030343712,en,925,2nd Edition,4.38,1500,2,https://covers.openlibrary.org/b/isbn/9783030343712-L.jpg,"A comprehensive survey of computer vision algorithms, applications, and the mathematics underlying them.",Open Library,9783030343712,https://openlibrary.org/isbn/9783030343712
Digital Image Processing,,Rafael C. Gonzalez; Richard E. Woods,Computer Science; Computer Vision; Image Processing,Pearson,2017,0133356728,9780133356724,en,1168,4th Edition,4.22,4000,2,https://covers.openlibrary.org/b/isbn/9780133356724-L.jpg,"A foundational textbook on digital image processing techniques, from fundamentals to advanced methods.",Open Library,9780133356724,https://openlibrary.org/isbn/9780133356724
Probabilistic Robotics,,Sebastian Thrun; Wolfram Burgard; Dieter Fox,Computer Science; Robotics; Artificial Intelligence,MIT Press,2005,0262201623,9780262201629,en,672,1st Edition,4.31,2000,1,https://covers.openlibrary.org/b/isbn/9780262201629-L.jpg,"A comprehensive introduction to probabilistic algorithms for robot perception, localization, and mapping.",Open Library,9780262201629,https://openlibrary.org/isbn/9780262201629
Natural Language Processing with Python,Analyzing Text with the Natural Language Toolkit,Steven Bird; Ewan Klein; Edward Loper,Computer Science; Artificial Intelligence; Natural Language Processing,O'Reilly Media,2009,0596516495,9780596516499,en,504,1st Edition,4.09,3000,2,https://covers.openlibrary.org/b/isbn/9780596516499-L.jpg,A hands-on introduction to natural language processing using the Python NLTK library.,Open Library,9780596516499,https://openlibrary.org/isbn/9780596516499
Data Science from Scratch,First Principles with Python,Joel Grus,Computer Science; Data Science; Programming,O'Reilly Media,2019,1492041130,9781492041139,en,406,2nd Edition,4.03,4000,2,https://covers.openlibrary.org/b/isbn/9781492041139-L.jpg,An introduction to the fundamentals of data science by implementing core tools and algorithms from scratch.,Open Library,9781492041139,https://openlibrary.org/isbn/9781492041139
Python for Data Analysis,"Data Wrangling with Pandas, NumPy, and Jupyter",Wes McKinney,Computer Science; Data Science; Python,O'Reilly Media,2022,109810403X,9781098104030,en,579,3rd Edition,4.34,8000,2,https://covers.openlibrary.org/b/isbn/9781098104030-L.jpg,"A practical guide to data manipulation and analysis in Python, written by the creator of the pandas library.",Open Library,9781098104030,https://openlibrary.org/isbn/9781098104030
R for Data Science,"Import, Tidy, Transform, Visualize, and Model Data",Hadley Wickham; Garrett Grolemund,Computer Science; Data Science; Statistics,O'Reilly Media,2016,1491910399,9781491910399,en,520,1st Edition,4.35,5000,2,https://covers.openlibrary.org/b/isbn/9781491910399-L.jpg,"A practical, tidyverse-based introduction to importing, cleaning, visualizing, and modeling data with R.",Open Library,9781491910399,https://openlibrary.org/isbn/9781491910399
Storytelling with Data,A Data Visualization Guide for Business Professionals,Cole Nussbaumer Knaflic,Business; Data Science; Communication,Wiley,2015,1119002257,9781119002253,en,288,1st Edition,4.34,15000,2,https://covers.openlibrary.org/b/isbn/9781119002253-L.jpg,"A practical guide to creating clear, compelling data visualizations that communicate effectively.",Open Library,9781119002253,https://openlibrary.org/isbn/9781119002253
The Elements of Statistical Learning,"Data Mining, Inference, and Prediction",Trevor Hastie; Robert Tibshirani; Jerome Friedman,Computer Science; Machine Learning; Statistics,Springer,2009,0387848576,9780387848570,en,745,2nd Edition,4.4,4000,2,https://covers.openlibrary.org/b/isbn/9780387848570-L.jpg,"A rigorous, widely used graduate-level text on statistical learning methods and theory.",Open Library,9780387848570,https://openlibrary.org/isbn/9780387848570
An Introduction to Statistical Learning,With Applications in R,Gareth James; Daniela Witten; Trevor Hastie; Robert Tibshirani,Computer Science; Machine Learning; Statistics,Springer,2013,1461471370,9781461471370,en,426,1st Edition,4.44,6000,2,https://covers.openlibrary.org/b/isbn/9781461471370-L.jpg,"An accessible introduction to statistical learning methods, aimed at students without a deep math background.",Open Library,9781461471370,https://openlibrary.org/isbn/9781461471370
Bayesian Reasoning and Machine Learning,,David Barber,Computer Science; Machine Learning; Statistics,Cambridge University Press,2012,0521518148,9780521518147,en,720,1st Edition,4.2,800,1,https://covers.openlibrary.org/b/isbn/9780521518147-L.jpg,"A comprehensive introduction to Bayesian methods in machine learning, including graphical models.",Open Library,9780521518147,https://openlibrary.org/isbn/9780521518147
Grokking Algorithms,An Illustrated Guide for Programmers and Other Curious People,Aditya Y. Bhargava,Computer Science; Algorithms; Programming,Manning Publications,2016,1617292230,9781617292231,en,256,1st Edition,4.44,12000,3,https://covers.openlibrary.org/b/isbn/9781617292231-L.jpg,"A visually illustrated, beginner-friendly introduction to common algorithms and their use cases.",Open Library,9781617292231,https://openlibrary.org/isbn/9781617292231
Introduction to the Theory of Computation,,Michael Sipser,Computer Science; Theoretical Computer Science; Education,Cengage Learning,2012,113318779X,9781133187790,en,458,3rd Edition,4.24,4000,2,https://covers.openlibrary.org/b/isbn/9781133187790-L.jpg,"A rigorous but accessible introduction to automata theory, computability, and complexity theory.",Open Library,9781133187790,https://openlibrary.org/isbn/9781133187790
"Compilers: Principles, Techniques, and Tools",,Alfred V. Aho; Monica S. Lam; Ravi Sethi; Jeffrey D. Ullman,Computer Science; Compilers; Education,Pearson,2006,0321486811,9780321486813,en,1038,2nd Edition,4.16,5000,2,https://covers.openlibrary.org/b/isbn/9780321486813-L.jpg,The classic 'Dragon Book' covering the theory and practice of compiler construction.,Open Library,9780321486813,https://openlibrary.org/isbn/9780321486813
Computer Security: Principles and Practice,,William Stallings; Lawrie Brown,Computer Science; Security; Education,Pearson,2017,0134794109,9780134794105,en,944,4th Edition,4.13,2000,2,https://covers.openlibrary.org/b/isbn/9780134794105-L.jpg,"A broad survey of computer and network security principles, threats, and countermeasures.",Open Library,9780134794105,https://openlibrary.org/isbn/9780134794105
Applied Cryptography,"Protocols, Algorithms, and Source Code in C",Bruce Schneier,Computer Science; Security; Cryptography,Wiley,1996,0471117099,9780471117094,en,784,2nd Edition,4.24,7000,2,https://covers.openlibrary.org/b/isbn/9780471117094-L.jpg,"A comprehensive, practical reference to cryptographic protocols and algorithms.",Open Library,9780471117094,https://openlibrary.org/isbn/9780471117094
The Web Application Hacker's Handbook,Finding and Exploiting Security Flaws,Dafydd Stuttard; Marcus Pinto,Computer Science; Security; Web Development,Wiley,2011,1118026470,9781118026472,en,912,2nd Edition,4.37,3000,1,https://covers.openlibrary.org/b/isbn/9781118026472-L.jpg,A hands-on guide to discovering and exploiting security vulnerabilities in web applications.,Open Library,9781118026472,https://openlibrary.org/isbn/9781118026472
Hacking: The Art of Exploitation,,Jon Erickson,Computer Science; Security; Programming,No Starch Press,2008,1593271441,9781593271442,en,488,2nd Edition,4.31,10000,2,https://covers.openlibrary.org/b/isbn/9781593271442-L.jpg,"An introduction to programming, networking, and security concepts from the perspective of an exploit developer.",Open Library,9781593271442,https://openlibrary.org/isbn/9781593271442
"TCP/IP Illustrated, Volume 1",The Protocols,W. Richard Stevens; Kevin R. Fall,Computer Science; Networking; Education,Addison-Wesley,2011,0321336313,9780321336316,en,1056,2nd Edition,4.35,3000,1,https://covers.openlibrary.org/b/isbn/9780321336316-L.jpg,"A detailed, protocol-by-protocol explanation of how TCP/IP networking actually works.",Open Library,9780321336316,https://openlibrary.org/isbn/9780321336316
Linux Kernel Development,,Robert Love,Computer Science; Operating Systems; Linux,Addison-Wesley,2010,0672329468,9780672329463,en,440,3rd Edition,4.25,3000,1,https://covers.openlibrary.org/b/isbn/9780672329463-L.jpg,A practical guide to the design and implementation of the Linux kernel.,Open Library,9780672329463,https://openlibrary.org/isbn/9780672329463
The Linux Programming Interface,A Linux and UNIX System Programming Handbook,Michael Kerrisk,Computer Science; Operating Systems; Programming,No Starch Press,2010,1593272200,9781593272203,en,1552,1st Edition,4.58,3000,1,https://covers.openlibrary.org/b/isbn/9781593272203-L.jpg,"An exhaustive reference to Linux and UNIX system programming, covering the full breadth of the kernel API.",Open Library,9781593272203,https://openlibrary.org/isbn/9781593272203
Advanced Programming in the UNIX Environment,,W. Richard Stevens; Stephen A. Rago,Computer Science; Operating Systems; Programming,Addison-Wesley,2013,0321637739,9780321637734,en,960,3rd Edition,4.38,3000,1,https://covers.openlibrary.org/b/isbn/9780321637734-L.jpg,"A classic, in-depth guide to UNIX system programming interfaces and concepts.",Open Library,9780321637734,https://openlibrary.org/isbn/9780321637734
The C Programming Language,,Brian W. Kernighan; Dennis M. Ritchie,Computer Science; Programming; C,Prentice Hall,1988,0131103628,9780131103627,en,272,2nd Edition,4.32,45000,2,https://covers.openlibrary.org/b/isbn/9780131103627-L.jpg,"The classic, concise reference to the C programming language, written by its creators.",Open Library,9780131103627,https://openlibrary.org/isbn/9780131103627
Effective C++,55 Specific Ways to Improve Your Programs and Designs,Scott Meyers,Computer Science; Programming; C++,Addison-Wesley,2005,0321334876,9780321334879,en,320,3rd Edition,4.32,7000,2,https://covers.openlibrary.org/b/isbn/9780321334879-L.jpg,"Practical guidelines and idioms for writing more effective, efficient C++ code.",Open Library,9780321334879,https://openlibrary.org/isbn/9780321334879
C++ Primer,,Stanley B. Lippman; Josee Lajoie; Barbara E. Moo,Computer Science; Programming; C++,Addison-Wesley,2012,0321714113,9780321714114,en,976,5th Edition,4.29,5000,2,https://covers.openlibrary.org/b/isbn/9780321714114-L.jpg,A comprehensive introduction to the C++ language for both new and experienced programmers.,Open Library,9780321714114,https://openlibrary.org/isbn/9780321714114
JavaScript: The Good Parts,,Douglas Crockford,Computer Science; Programming; JavaScript,O'Reilly Media,2008,0596517742,9780596517748,en,176,1st Edition,4.11,20000,2,https://covers.openlibrary.org/b/isbn/9780596517748-L.jpg,"A focused look at the best features of JavaScript, distilling the language down to its most reliable parts.",Open Library,9780596517748,https://openlibrary.org/isbn/9780596517748
HTML and CSS: Design and Build Websites,,Jon Duckett,Computer Science; Web Development; Design,Wiley,2011,1118008189,9781118008188,en,490,1st Edition,4.48,12000,2,https://covers.openlibrary.org/b/isbn/9781118008188-L.jpg,"A visually engaging, beginner-friendly guide to building websites with HTML and CSS.",Open Library,9781118008188,https://openlibrary.org/isbn/9781118008188
Learning React,Modern Patterns for Developing React Apps,Alex Banks; Eve Porcello,Computer Science; Web Development; JavaScript,O'Reilly Media,2020,1492051718,9781492051715,en,320,2nd Edition,4.1,3000,2,https://covers.openlibrary.org/b/isbn/9781492051715-L.jpg,"A practical, up-to-date guide to building modern web applications with React.",Open Library,9781492051715,https://openlibrary.org/isbn/9781492051715
Node.js Design Patterns,,Mario Casciaro; Luciano Mammino,Computer Science; Web Development; JavaScript,Packt Publishing,2020,1839214112,9781839214110,en,664,3rd Edition,4.4,1500,1,https://covers.openlibrary.org/b/isbn/9781839214110-L.jpg,Design patterns and best practices for building scalable server-side applications with Node.js.,Open Library,9781839214110,https://openlibrary.org/isbn/9781839214110
Kubernetes: Up and Running,Dive into the Future of Infrastructure,Brendan Burns; Joe Beda; Kelsey Hightower,Computer Science; DevOps; Cloud Computing,O'Reilly Media,2019,1492046531,9781492046530,en,277,2nd Edition,4.24,4000,2,https://covers.openlibrary.org/b/isbn/9781492046530-L.jpg,A practical guide to deploying and managing containerized applications with Kubernetes.,Open Library,9781492046530,https://openlibrary.org/isbn/9781492046530
Docker Deep Dive,,Nigel Poulton,Computer Science; DevOps; Cloud Computing,Independently Published,2020,1521822808,9781521822807,en,384,2020 Edition,4.35,3000,1,https://covers.openlibrary.org/b/isbn/9781521822807-L.jpg,"A practical, hands-on guide to understanding and using Docker containers.",Open Library,9781521822807,https://openlibrary.org/isbn/9781521822807
Building Microservices,Designing Fine-Grained Systems,Sam Newman,Computer Science; Software Engineering; DevOps,O'Reilly Media,2021,1492034029,9781492034025,en,610,2nd Edition,4.24,7000,2,https://covers.openlibrary.org/b/isbn/9781492034025-L.jpg,"Practical guidance on designing, building, and maintaining microservice-based systems.",Open Library,9781492034025,https://openlibrary.org/isbn/9781492034025
Soft Skills: The Software Developer's Life Manual,,John Sonmez,Computer Science; Career; Personal Development,Manning Publications,2014,1617292397,9781617292392,en,504,1st Edition,4.15,6000,2,https://covers.openlibrary.org/b/isbn/9781617292392-L.jpg,"Career, productivity, and life advice for software developers beyond the code itself.",Open Library,9781617292392,https://openlibrary.org/isbn/9781617292392
Peopleware,Productive Projects and Teams,Tom DeMarco; Timothy Lister,Computer Science; Software Engineering; Management,Addison-Wesley,2013,0321934113,9780321934116,en,264,3rd Edition,4.16,10000,2,https://covers.openlibrary.org/b/isbn/9780321934116-L.jpg,"A classic on the human side of software projects, arguing that team dynamics matter more than technology.",Open Library,9780321934116,https://openlibrary.org/isbn/9780321934116
Extreme Programming Explained,Embrace Change,Kent Beck; Cynthia Andres,Computer Science; Software Engineering; Agile,Addison-Wesley,2004,0321278658,9780321278654,en,224,2nd Edition,4.05,6000,1,https://covers.openlibrary.org/b/isbn/9780321278654-L.jpg,"An introduction to Extreme Programming, an agile methodology emphasizing simplicity, feedback, and courage.",Open Library,9780321278654,https://openlibrary.org/isbn/9780321278654
